name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,6888,2293,1976,Highway,1,0.0306825970101638,2.0,13000.0,0.0018409558206098,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6889,2293,1977,Highway,1,0.2490505665587844,2.0,13000.0,0.014943033993527,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6890,2293,1936,Highway,1,0.3981497837905297,2.0,13000.0,0.0238889870274317,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6892,2294,1977,Highway,1,0.0133241989494037,2.0,13000.0,0.0007994519369642,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6893,2294,1936,Highway,1,0.1376331143654838,2.0,13000.0,0.008257986861929,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6895,2294,1976,Highway,1,0.2910450683442719,2.0,13000.0,0.0174627041006563,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6896,2295,1951,Highway,1,0.0140266894654393,2.0,13000.0,0.0008416013679263,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6900,2296,1940,Highway,1,0.0410487515035475,2.0,13000.0,0.0024629250902128,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6901,2296,1954,Highway,1,0.0963425514765322,2.0,13000.0,0.0057805530885919,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6904,2297,1949,Highway,1,0.015927416017488,2.0,13000.0,0.0009556449610492,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6907,2297,1946,Highway,1,0.7309313623430624,2.0,13000.0,0.0438558817405837,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6908,2298,1944,Highway,1,0.0059999908333515,2.0,13000.0,0.000359999450001,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6912,2299,1942,Highway,1,0.0060000119007512,2.0,13000.0,0.000360000714045,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6916,2300,1932,Highway,1,0.0030000257082547,2.0,13000.0,0.0001800015424952,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6920,2301,1935,Highway,1,0.019902528637328,2.0,13000.0,0.0011941517182396,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6921,2301,1942,Highway,1,0.5580189845238266,2.0,13000.0,0.0334811390714295,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6924,2302,1941,Highway,1,0.0137418901249355,2.0,13000.0,0.0008245134074961,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6928,2303,1933,Highway,1,0.0059999498031794,2.0,13000.0,0.0003599969881907,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6931,2303,1934,Highway,1,0.6291731360066791,2.0,13000.0,0.0377503881604007,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6932,2304,1934,Highway,1,0.0059999602799013,2.0,13000.0,0.000359997616794,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6934,2304,1933,Highway,1,0.6171735252523133,2.0,13000.0,0.0370304115151387,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6936,2305,1950,Highway,1,0.0129907092660087,2.0,13000.0,0.0007794425559605,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6940,2306,1948,Highway,1,0.0201637250020447,2.0,13000.0,0.0012098235001226,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6941,2306,1947,Highway,1,0.0971662957819437,2.0,13000.0,0.0058299777469166,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6942,2306,1980,Highway,1,0.1445223962097379,2.0,13000.0,0.0086713437725842,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6944,2307,1952,Highway,1,0.0125470983432958,2.0,13000.0,0.0007528259005977,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6945,2307,1953,Highway,1,0.0469021889393976,2.0,13000.0,0.0028141313363638,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6946,2307,1921,Highway,1,0.3201527478562342,2.0,13000.0,0.019209164871374,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6948,2308,1921,Highway,1,0.0229443013093022,2.0,13000.0,0.0013766580785581,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6949,2308,1953,Highway,1,0.3010453736114469,2.0,13000.0,0.0180627224166868,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6951,2308,1952,Highway,1,0.3493295339299614,2.0,13000.0,0.0209597720357976,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6952,2309,1955,Highway,1,0.0145448870977091,2.0,13000.0,0.0008726932258625,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6955,2309,1957,Highway,1,0.5497381861103464,2.0,13000.0,0.0329842911666207,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6956,2310,1930,Highway,1,0.0029995486729456,2.0,13000.0,0.0001799729203767,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6957,2310,1957,Highway,1,0.1970965138640562,2.0,13000.0,0.0118257908318433,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6960,2311,1957,Highway,1,0.0186481954100037,2.0,13000.0,0.0011188917246002,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6961,2311,1930,Highway,1,0.211116147173026,2.0,13000.0,0.0126669688303815,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6964,2312,1959,Highway,1,0.0044996906738311,2.0,13000.0,0.0002699814404298,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6965,2312,1960,Highway,1,0.2702681528286723,2.0,13000.0,0.0162160891697203,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6968,2313,1960,Highway,1,0.0029997463166035,2.0,13000.0,0.0001799847789962,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6969,2313,1959,Highway,1,0.2628888340882079,2.0,13000.0,0.0157733300452924,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,6972,2314,1962,Highway,1,0.0141047969725377,2.0,13000.0,0.0008462878183522,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
