node_id,x_coord,y_coord,name
366,313471.8941,5814028.569,
367,315138.0612,5813869.063,
368,315020.1862,5813839.094,
369,315250.443,5813822.047,
370,314074.0612,5814009.063,
371,313926.3305,5814026.914,
372,314152.0612,5813974.063,
373,313811.0612,5813999.063,
374,313872.5479,5814034.237,
375,313905.1315,5814030.791,
376,313732.9186,5809552.477,
377,323647.0612,5810730.063,
378,323510.0612,5810781.063,
379,323647.0612,5810742.063,
380,323712.0612,5810731.063,
381,323314.0612,5810839.063,
382,322958.0612,5811196.063,
383,322883.0612,5811308.063,
384,322806.2296,5811400.009,
385,322949.0612,5811224.063,
386,322995.0612,5811170.063,
387,323109.0612,5811030.063,
388,323185.126,5810950.125,
389,322932.0612,5811002.063,
390,322887.8424,5810680.116,
391,322921.1575,5811070.025,
392,323120.0612,5810830.063,
393,323219.0612,5810757.063,
394,324153.0612,5810695.063,
395,324226.0612,5810660.063,
396,324080.0612,5810730.063,
397,324279.0612,5810628.063,
398,324343.0612,5810630.063,
399,323842.0612,5810649.063,
400,323754.0612,5810616.063,
401,323972.0612,5810677.063,
402,323697.9545,5810619.458,
403,324641.0612,5810926.063,
404,324557.7745,5810947.839,
405,324691.0612,5810889.063,
406,324727.0612,5810842.063,
407,324766.0612,5810763.063,
408,324820.0612,5810728.063,
409,324820.0612,5810728.063,
410,324891.0612,5810796.063,
411,324962.0612,5810864.063,
412,324974.0612,5810938.063,
413,324998.0612,5810971.063,
414,325058.0612,5811010.063,
415,325089.8902,5811021.849,
416,325145.0612,5811034.063,
417,325184.0612,5811034.063,
418,325219.0612,5811005.063,
419,325456.0612,5810813.063,
420,325494.0612,5810784.063,
421,325607.0612,5810670.063,
422,325552.0612,5810699.063,
423,325142.5122,5811481.6715,
424,325284.0612,5811467.063,
425,325000.9632,5811496.28,
426,325356.0612,5811460.063,
427,325498.2732,5811501.154,
428,325581.0612,5811535.063,
429,325710.0612,5811579.063,
430,325792.0612,5811593.063,
431,325929.0612,5811580.563,
432,326066.0612,5811568.063,
433,325356.0612,5811429.063,
434,325424.0612,5811412.063,
435,325256.0612,5811429.063,
436,325474.0612,5811432.063,
437,326268.0177,5811456.691,
438,326212.8334,5811514.445,
439,324141.974,5814422.825999999,
440,324369.9643,5814412.335,
441,323913.9837,5814433.317,
442,324503.656,5814341.433,
443,324435.7215,5814389.403,
444,324731.7015,5814208.406,
445,325523.8405,5813803.358,
446,325694.8206,5813778.951,
447,318621.0612,5815655.063,
448,318651.9537,5815726.655,
449,318611.0487,5815578.08,
450,318548.0612,5815827.063,
451,318519.7692,5815753.196,
452,318406.0612,5815540.063,
453,318524.0612,5815813.063,
454,318541.0612,5815869.063,
455,318356.0612,5815415.063,
456,318391.0612,5815551.063,
457,318473.0612,5815702.063,
458,318319.0293,5817694.951,
459,318290.0612,5817340.063,
460,318302.0413,5817714.179,
461,318303.0612,5817373.063,
462,318307.0612,5817126.063,
463,318355.0612,5816856.063,
464,318315.0612,5817004.063,
465,318371.0612,5816846.063,
466,318526.9586,5816501.128,
467,320823.5516,5809999.615,
468,320811.8064,5809882.839,
469,321016.7593,5810136.937,
470,320788.2218,5810083.913,
471,320800.0612,5809766.063,
472,320701.0612,5809752.063,
473,320685.0612,5809724.063,
474,320796.0612,5809540.063,
475,321056.0612,5809249.063,
476,321057.0612,5809195.063,
477,321039.0612,5809289.063,
478,321039.0612,5809143.063,
479,321610.0612,5808597.063,
480,321661.0612,5808575.063,
481,321748.0612,5808659.063,
482,321881.0612,5808483.063,
483,321774.0612,5808657.063,
484,322209.7455,5808546.059,
485,322182.0931,5808465.785,
486,322189.0612,5808631.063,
487,322158.0612,5808571.063,
488,321915.0332,5809035.492,
489,322050.8695,5809098.162,
490,321994.54720000003,5808942.2775,
491,321808.0612,5809121.063,
492,321973.0612,5809351.063,
493,322074.0612,5808849.063,
494,321379.0612,5810139.063,
495,321465.0612,5810086.063,
496,321269.0612,5810157.063,
497,321537.0612,5809864.063,
498,321512.0612,5809768.063,
499,321458.0612,5809696.063,
500,321426.0612,5809468.063,
501,321462.0612,5809321.063,
502,321697.0612,5809100.063,
503,321551.0612,5809203.063,
504,320628.0612,5809355.063,
505,320524.017,5809535.26,
506,315797.83655,5814839.249,
507,316116.0612,5814807.063,
508,315479.6119,5814871.435,
509,316311.7475,5814901.522,
510,316178.0612,5814825.063,
511,316649.0612,5815176.063,
512,316428.8103,5814161.345,
513,316116.0612,5814807.063,
514,314665.0612,5815327.063,
515,314796.0612,5815359.063,
516,314628.0612,5815259.063,
517,314927.0612,5815391.063,
518,315053.0612,5815388.063,
519,315160.9026,5815379.918,
520,315397.0612,5815493.063,
521,315471.0612,5815576.063,
522,315531.0612,5815785.063,
523,315564.0612,5816077.063,
524,316199.0612,5811834.063,
525,316589.36785000004,5811932.319,
526,316199.0612,5811834.063,
527,316155.0612,5811771.063,
528,316134.0612,5811693.063,
529,316200.0612,5811435.063,
530,316979.6745,5812030.575,
531,315352.0612,5810773.063,
532,315151.0612,5810921.063,
533,315534.0612,5810656.063,
