node_id,zone_id,name,bin_index,node_type,control_type,x_coord,y_coord,geometry,production,attraction
445,445,,,,,325523.8405,5813803.358,,1,1
446,446,,,,,325694.8206,5813778.951,,1,1
447,447,,,,,318621.0612,5815655.063,,1,1
448,448,,,,,318651.9537,5815726.655,,1,1
449,449,,,,,318611.0487,5815578.08,,1,1
450,450,,,,,318548.0612,5815827.063,,1,1
451,451,,,,,318519.7692,5815753.196,,1,1
452,452,,,,,318406.0612,5815540.063,,1,1
453,453,,,,,318524.0612,5815813.063,,1,1
454,454,,,,,318541.0612,5815869.063,,1,1
455,455,,,,,318356.0612,5815415.063,,1,1
456,456,,,,,318391.0612,5815551.063,,1,1
457,457,,,,,318473.0612,5815702.063,,1,1
458,458,,,,,318319.0293,5817694.951,,1,1
459,459,,,,,318290.0612,5817340.063,,1,1
460,460,,,,,318302.0413,5817714.179,,1,1
461,461,,,,,318303.0612,5817373.063,,1,1
462,462,,,,,318307.0612,5817126.063,,1,1
463,463,,,,,318355.0612,5816856.063,,1,1
464,464,,,,,318315.0612,5817004.063,,1,1
465,465,,,,,318371.0612,5816846.063,,1,1
466,466,,,,,318526.9586,5816501.128,,1,1
467,467,,,,,320823.5516,5809999.615,,1,1
468,468,,,,,320811.8064,5809882.839,,1,1
469,469,,,,,321016.7593,5810136.937,,1,1
470,470,,,,,320788.2218,5810083.913,,1,1
471,471,,,,,320800.0612,5809766.063,,1,1
472,472,,,,,320701.0612,5809752.063,,1,1
473,473,,,,,320685.0612,5809724.063,,1,1
474,474,,,,,320796.0612,5809540.063,,1,1
475,475,,,,,321056.0612,5809249.063,,1,1
476,476,,,,,321057.0612,5809195.063,,1,1
477,477,,,,,321039.0612,5809289.063,,1,1
478,478,,,,,321039.0612,5809143.063,,1,1
479,479,,,,,321610.0612,5808597.063,,1,1
480,480,,,,,321661.0612,5808575.063,,1,1
481,481,,,,,321748.0612,5808659.063,,1,1
482,482,,,,,321881.0612,5808483.063,,1,1
483,483,,,,,321774.0612,5808657.063,,1,1
484,484,,,,,322209.7455,5808546.059,,1,1
485,485,,,,,322182.0931,5808465.785,,1,1
486,486,,,,,322189.0612,5808631.063,,1,1
487,487,,,,,322158.0612,5808571.063,,1,1
488,488,,,,,321915.0332,5809035.492,,1,1
489,489,,,,,322050.8695,5809098.162,,1,1
490,490,,,,,321994.54720000003,5808942.2775,,1,1
491,491,,,,,321808.0612,5809121.063,,1,1
492,492,,,,,321973.0612,5809351.063,,1,1
493,493,,,,,322074.0612,5808849.063,,1,1
494,494,,,,,321379.0612,5810139.063,,1,1
495,495,,,,,321465.0612,5810086.063,,1,1
496,496,,,,,321269.0612,5810157.063,,1,1
497,497,,,,,321537.0612,5809864.063,,1,1
498,498,,,,,321512.0612,5809768.063,,1,1
499,499,,,,,321458.0612,5809696.063,,1,1
500,500,,,,,321426.0612,5809468.063,,1,1
501,501,,,,,321462.0612,5809321.063,,1,1
502,502,,,,,321697.0612,5809100.063,,1,1
503,503,,,,,321551.0612,5809203.063,,1,1
504,504,,,,,320628.0612,5809355.063,,1,1
505,505,,,,,320524.017,5809535.26,,1,1
506,506,,,,,315797.83655,5814839.249,,1,1
507,507,,,,,316116.0612,5814807.063,,1,1
508,508,,,,,315479.6119,5814871.435,,1,1
509,509,,,,,316311.7475,5814901.522,,1,1
510,510,,,,,316178.0612,5814825.063,,1,1
511,511,,,,,316649.0612,5815176.063,,1,1
512,512,,,,,316428.8103,5814161.345,,1,1
513,513,,,,,316116.0612,5814807.063,,1,1
514,514,,,,,314665.0612,5815327.063,,1,1
515,515,,,,,314796.0612,5815359.063,,1,1
516,516,,,,,314628.0612,5815259.063,,1,1
517,517,,,,,314927.0612,5815391.063,,1,1
518,518,,,,,315053.0612,5815388.063,,1,1
519,519,,,,,315160.9026,5815379.918,,1,1
520,520,,,,,315397.0612,5815493.063,,1,1
521,521,,,,,315471.0612,5815576.063,,1,1
522,522,,,,,315531.0612,5815785.063,,1,1
523,523,,,,,315564.0612,5816077.063,,1,1
524,524,,,,,316199.0612,5811834.063,,1,1
525,525,,,,,316589.36785000004,5811932.319,,1,1
526,526,,,,,316199.0612,5811834.063,,1,1
527,527,,,,,316155.0612,5811771.063,,1,1
528,528,,,,,316134.0612,5811693.063,,1,1
529,529,,,,,316200.0612,5811435.063,,1,1
530,530,,,,,316979.6745,5812030.575,,1,1
531,531,,,,,315352.0612,5810773.063,,1,1
532,532,,,,,315151.0612,5810921.063,,1,1
533,533,,,,,315534.0612,5810656.063,,1,1
534,534,,,,,315651.0612,5810602.063,,1,1
535,535,,,,,315359.0612,5810796.063,,1,1
536,536,,,,,315540.0612,5810677.063,,1,1
537,537,,,,,315655.0612,5810625.063,,1,1
538,538,,,,,320478.8815,5811323.634,,1,1
539,539,,,,,320711.0612,5811446.063,,1,1
540,540,,,,,323673.0612,5810779.063,,1,1
541,541,,,,,317809.0612,5811145.063,,1,1
542,542,,,,,317871.7559,5811213.705,,1,1
543,543,,,,,320889.0612,5811380.063,,1,1
544,544,,,,,320921.0612,5811328.063,,1,1
545,545,,,,,320468.9819,5811546.235,,1,1
546,546,,,,,320491.0612,5811570.063,,1,1
547,547,,,,,320467.8664,5811598.129,,1,1
548,548,,,,,320497.0612,5811491.063,,1,1
