link_id,link_id_new,from_node_old,to_node_old,from_node_new,to_node_new,x_from,y_from,x_to,y_to,bias,mae,rmse,mape
9676,180,64738,64739,179,180,324331.9055,5812676.987,323927.0583,5812727.105,,,,
9677,181,64738,64740,179,181,324331.9055,5812676.987,324460.0612,5812664.063,,,,
9678,182,64738,64741,179,182,324331.9055,5812676.987,324290.0488,5812386.699,,,,
9679,183,64742,64743,183,184,323199.7579,5811710.535,323169.0612,5811449.063,,,,
9680,184,64742,64744,183,185,323199.7579,5811710.535,322995.0469,5811737.946,,,,
9681,185,64742,64745,183,186,323199.7579,5811710.535,323397.2385,5811687.637,,,,
9682,186,64746,64747,187,188,323729.0227,5811111.306,323487.0612,5811140.063,,,,
9683,187,64746,64748,187,189,323729.0227,5811111.306,323753.9624,5811266.076,,,,
9684,188,64746,64749,187,190,323729.0227,5811111.306,323702.524,5810776.232,,,,
9685,189,64750,64747,191,188,323134.0612,5811186.063,323487.0612,5811140.063,,,,
9686,190,64750,64743,191,184,323134.0612,5811186.063,323169.0612,5811449.063,,,,
9687,191,64751,64752,192,193,326832.9454,5814827.894,326796.0612,5814601.063,,,,
9689,193,64751,64754,192,195,326832.9454,5814827.894,326582.8059,5814630.428,,,,
9690,194,64755,64756,196,197,326700.5112,5813825.567,327085.0735,5814007.586,,,,
9691,195,64755,64757,196,198,326700.5112,5813825.567,326711.0612,5813936.063,,,,
9692,196,64755,64758,196,199,326700.5112,5813825.567,326635.1731,5813788.25,,,,
9693,197,64756,64755,197,196,327085.0735,5814007.586,326700.5112,5813825.567,,,,
9694,198,64756,64759,197,200,327085.0735,5814007.586,327055.9789,5813735.722,-18.77975,39.94418,54.951603,0.36467448
9695,199,64756,64760,197,201,327085.0735,5814007.586,327315.0093,5814115.607,,,,
9702,200,64759,64756,200,197,327055.9789,5813735.722,327085.0735,5814007.586,,,,
9703,201,64759,64769,200,202,327055.9789,5813735.722,327023.2077,5813486.176,,,,
9705,203,64759,64771,200,204,327055.9789,5813735.722,327261.2703,5813713.571,,,,
9706,204,64769,64759,202,200,327023.2077,5813486.176,327055.9789,5813735.722,-25.087694,25.530779,30.875473,0.538179
9707,205,64769,64772,202,205,327023.2077,5813486.176,326887.0612,5813505.063,,,,
9708,206,64769,64773,202,206,327023.2077,5813486.176,327261.075,5813455.036,,,,
9716,207,317273,64783,1926,207,327607.6961,5812878.808,327377.4122,5812908.783,,,,
9719,208,317275,64786,1927,208,327587.2086,5811972.566,327083.0112,5812048.67,,,,
10095,209,317277,64472,1928,105,323403.6615,5808317.931,323457.9598,5808725.689,,,,
10096,210,317279,65086,1929,209,324213.0865,5808285.453,324257.5881,5808605.717,,,,
10098,211,65087,65088,210,211,323113.9682,5809338.323,323353.9542,5809308.321,,,,
10100,212,65087,65090,210,212,323113.9682,5809338.323,322891.9579,5809366.321,,,,
10101,213,64476,64475,109,108,323076.0639,5809034.081,322674.3212,5809097.709,-247.83784,247.83784,264.82913,0.6899913
