node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
69272,,320889.0612,5811380.063,,,  ,,
69273,,320921.0612,5811328.063,,,  ,,
69285,,320468.9819,5811546.235,,,Signal,,
69286,,320491.0612,5811570.063,,,  ,,
69287,,320467.8664,5811598.129,,,  ,,
69288,,320497.0612,5811491.063,,,  ,,
69289,,320296.035,5811344.089,,,Signal,,
69290,,320869.0612,5811488.063,,,  ,,
69291,,320886.0612,5811523.063,,,  ,,
69297,,317889.0612,5811313.063,,,  ,,
69301,,320972.0612,5811333.063,,,  ,,
69302,,320996.4946,5811381.289,,External,  ,,
69305,,317901.0612,5811604.063,,,  ,,
69306,,318001.0612,5811498.063,,,  ,,
69307,,320224.2603,5811276.915,,,  ,,
69308,,320327.0297,5811278.411,,,  ,,
69309,,320792.0612,5811444.063,,,  ,,
69310,,320851.0612,5811394.063,,,  ,,
69311,,320745.0612,5811457.063,,,  ,,
69312,,320802.0612,5811488.063,,,  ,,
69313,,321033.0725,5811553.021,,,  ,,
69314,,321198.1446,5811597.39,,,  ,,
69325,,321323.0612,5810383.063,,,  ,,
69326,,321197.0612,5810299.063,,,  ,,
69327,,321453.1871,5810536.657,,,Signal,,
69328,,317851.0612,5811494.063,,,  ,,
69329,,317866.1586,5811702.063,,,  ,,
69908,,315811.0612,5810584.063,,,  ,,
70572,,320090.5911,5816129.76,,,  ,,
70573,,320034.1761,5816129.399,,,  ,,
70574,,320128.0612,5816458.063,,,  ,,
70576,,319838.3541,5816052.071,,External,  ,,
70605,,316402.5465,5810697.771,,,  ,,
70606,,316533.1974,5810795.74,,,  ,,
70607,,316228.0612,5810811.063,,,  ,,
70608,,316252.7859,5810721.408,,,  ,,
70609,,316202.3379,5811344.725,,,  ,,
70610,,316380.0612,5810786.063,,,  ,,
70611,,316476.0612,5810861.063,,,  ,,
70612,,316715.0612,5811103.063,,,  ,,
70613,,316663.0612,5811075.063,,,  ,,
70614,,316815.4673,5811136.784,,,  ,,
70615,,321556.0612,5812605.063,,,  ,,
70616,,321615.0612,5812541.063,,,  ,,
70617,,321525.356,5812663.179,,,Signal,,
70618,,321664.0612,5812499.063,,,  ,,
70619,,321756.0612,5812449.063,,,  ,,
70621,,321861.2199,5812334.982,,,  ,,
