loc_id,link_id,ref_node_id,lr,x_coord,y_coord,z_coord,loc_type,zone_id,gfts_stop_id
247719,42108,,,320823.8286,5811898.708,,Detector,,
247732,41851,,,320563.172,5812217.946,,Detector,,
247733,41890,,,320549.2762,5812204.474,,Detector,,
247734,41934,,,320563.8162,5812184.083,,Detector,,
247735,41890,,,320549.2762,5812204.474,,Detector,,
247745,40314,,,320658.9639,5812344.229,,Detector,,
247746,40364,,,320681.6829,5812328.535,,Detector,,
247747,41849,,,320642.4322,5812319.624,,Detector,,
247758,40316,,,320875.795,5812425.613,,Detector,,
247759,40316,,,320875.795,5812425.613,,Detector,,
247760,40363,,,320862.5088,5812405.811,,Detector,,
247761,41678,,,320895.5854,5812412.456,,Detector,,
247777,41984,,,320331.0186,5811736.932,,Detector,,
247778,41984,,,320331.0186,5811736.932,,Detector,,
247779,42124,,,320345.1271,5811729.375,,Detector,,
247780,42124,,,320345.1271,5811729.375,,Detector,,
247781,42276,,,320316.8763,5811710.934,,Detector,,
247782,42276,,,320316.8763,5811710.934,,Detector,,
247783,42303,,,320342.4383,5811707.883,,Detector,,
247784,42333,,,320339.9613,5811705.733,,Detector,,
247785,42333,,,320339.9613,5811705.733,,Detector,,
247807,38980,,,320669.4991,5811766.562,,Detector,,
247808,38980,,,320669.4991,5811766.562,,Detector,,
247809,40307,,,320697.5158,5811763.464,,Detector,,
247810,40307,,,320697.5158,5811763.464,,Detector,,
247811,40310,,,320700.7925,5811791.351,,Detector,,
247812,42219,,,320669.3645,5811791.396,,Detector,,
247813,42219,,,320669.3645,5811791.396,,Detector,,
247831,42017,,,320531.9977,5811856.44,,Detector,,
247832,42017,,,320531.9977,5811856.44,,Detector,,
247833,42123,,,320508.2252,5811842.116,,Detector,,
247834,42123,,,320508.2252,5811842.116,,Detector,,
247835,42184,,,320519.8528,5811825.23,,Detector,,
247836,42220,,,320540.1056,5811833.433,,Detector,,
247837,42220,,,320540.1056,5811833.433,,Detector,,
247852,24172,,,319391.2531,5811591.174,,Detector,,
247853,24172,,,319391.2531,5811591.174,,Detector,,
247854,42062,,,319419.7754,5811611.606,,Detector,,
247855,42309,,,319400.2874,5811569.557,,Detector,,
247867,40305,,,320207.8312,5811563.081,,Detector,,
247868,42156,,,320190.0241,5811566.913,,Detector,,
247869,42277,,,320202.6961,5811590.502,,Detector,,
247889,42173,,,320193.9472,5811611.642,,Detector,,
247890,42173,,,320193.9472,5811611.642,,Detector,,
247891,42210,,,320211.2461,5811604.193,,Detector,,
247892,42210,,,320211.2461,5811604.193,,Detector,,
247893,42292,,,320201.3779,5811579.722,,Detector,,
247894,42444,,,320180.7208,5811590.874,,Detector,,
247895,42444,,,320180.7208,5811590.874,,Detector,,
247910,21891,,,319997.4848,5812061.936,,Detector,,
247911,24829,,,320030.5771,5812068.496,,Detector,,
247912,40302,,,320011.2194,5812081.691,,Detector,,
247913,40302,,,320011.2194,5812081.691,,Detector,,
247914,42172,,,320017.3543,5812048.519,,Detector,,
247915,42172,,,320017.3543,5812048.519,,Detector,,
247930,38966,,,319362.1632,5811525.343,,Detector,,
247931,38966,,,319362.1632,5811525.343,,Detector,,
247932,42285,,,319395.2812,5811540.603,,Detector,,
247933,42453,,,319367.3502,5811510.927,,Detector,,
247944,42311,,,319336.7792,5811448.211,,Detector,,
247945,42441,,,319341.7806,5811431.296,,Detector,,
247946,42441,,,319341.7806,5811431.296,,Detector,,
247947,42471,,,319310.3974,5811417.309,,Detector,,
247958,36581,,,321338.4206,5811869.766,,Detector,,
247959,36581,,,321338.4206,5811869.766,,Detector,,
247960,42060,,,321365.5703,5811855.887,,Detector,,
247961,42130,,,321321.3534,5811841.442,,Detector,,
247962,42130,,,321321.3534,5811841.442,,Detector,,
247963,42241,,,321345.9613,5811823.175,,Detector,,
247974,42136,,,320965.5618,5811490.388,,Detector,,
247975,42217,,,320973.9699,5811459.255,,Detector,,
247986,41943,,,321102.9968,5811838.666,,Detector,,
247987,41943,,,321102.9968,5811838.666,,Detector,,
247988,42109,,,321080.4008,5811827.536,,Detector,,
247989,42131,,,321118.0665,5811812.168,,Detector,,
247990,42338,,,321092.0341,5811800.106,,Detector,,
247991,42338,,,321092.0341,5811800.106,,Detector,,
248004,42516,,,320652.3345,5811346.059,,Detector,,
248005,42528,,,320674.8157,5811338.671,,Detector,,
248006,42528,,,320674.8157,5811338.671,,Detector,,
248007,42658,,,320668.451,5811316.428,,Detector,,
