name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,76,72,75,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,77,76,77,Highway,1,0.4122314180609829,1.0,700.0,50.0,1,0,0.4946777016731795,700.0,0.15,4,1.0,1,100,10,0,1,0
,78,76,78,Highway,1,0.208528349751336,1.0,700.0,50.0,1,0,0.2502340197016033,700.0,0.15,4,1.0,1,100,10,0,1,0
,79,79,80,Highway,1,0.0283643767244866,2.0,2400.0,60.0,1,0,0.0283643767244866,2400.0,0.15,4,1.0,1,100,10,0,1,0
,80,79,81,Highway,1,0.0307525001743227,2.0,1900.0,90.0,1,0,0.0205016667828818,1900.0,0.15,4,1.0,1,100,10,0,1,0
,81,80,82,Highway,1,0.1478681845428556,2.0,2400.0,60.0,1,0,0.1478681845428556,2400.0,0.15,4,1.0,1,100,10,0,1,0
,82,82,83,Highway,1,0.0237697286480094,2.0,2400.0,60.0,1,0,0.0237697286480094,2400.0,0.15,4,1.0,1,100,10,0,1,0
,83,83,84,Highway,1,0.0174642491965729,2.0,2400.0,60.0,1,0,0.0174642491965729,2400.0,0.15,4,1.0,1,100,10,0,1,0
,84,84,85,Highway,1,0.0246981780704569,2.0,2400.0,60.0,1,0,0.0246981780704569,2400.0,0.15,4,1.0,1,100,10,0,1,0
,85,85,86,Highway,1,0.0376020962576874,2.0,2400.0,60.0,1,0,0.0376020962576874,2400.0,0.15,4,1.0,1,100,10,0,1,0
,86,87,88,Highway,1,0.6248066303241885,1.0,1000.0,50.0,1,0,0.7497679563890262,1000.0,0.15,4,1.0,1,100,10,0,1,0
,87,87,89,Highway,1,0.0869246339897275,1.0,750.0,90.0,1,0,0.0579497559931516,750.0,0.15,4,1.0,1,100,10,0,1,0
,88,87,90,Highway,1,0.1111678520841597,2.0,1500.0,90.0,1,0,0.0741119013894398,1500.0,0.15,4,1.0,1,100,10,0,1,0
,89,88,87,Highway,1,0.6248066303241885,1.0,1000.0,50.0,1,0,0.7497679563890262,1000.0,0.15,4,1.0,1,100,10,0,1,0
,90,88,91,Highway,1,0.0355105618091294,1.0,1000.0,50.0,1,0,0.0426126741709552,1000.0,0.15,4,1.0,1,100,10,0,1,0
,91,92,93,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,92,92,94,Highway,1,0.2245498246094326,1.0,750.0,90.0,1,0,0.149699883072955,750.0,0.15,4,1.0,1,100,10,0,1,0
,93,92,95,Highway,1,0.3200021175670988,2.0,1500.0,90.0,1,0,0.2133347450447325,1500.0,0.15,4,1.0,1,100,10,0,1,0
,94,96,93,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1.0,1,100,10,0,1,0
,95,96,97,Highway,1,0.3113403712711662,2.0,1500.0,90.0,1,0,0.2075602475141107,1500.0,0.15,4,1.0,1,100,10,0,1,0
,96,96,98,Highway,1,0.2271083932544877,1.0,750.0,90.0,1,0,0.1514055955029918,750.0,0.15,4,1.0,1,100,10,0,1,0
,97,99,100,Highway,1,0.3792227659864069,1.0,1000.0,50.0,1,0,0.4550673191836883,1000.0,0.15,4,1.0,1,100,10,0,1,0
,98,99,101,Highway,1,0.215144472968953,1.0,750.0,90.0,1,0,0.1434296486459687,750.0,0.15,4,1.0,1,100,10,0,1,0
,99,99,102,Highway,1,0.2935994082864924,2.0,1500.0,90.0,1,0,0.1957329388576616,1500.0,0.15,4,1.0,1,100,10,0,1,0
