name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector,x_from,y_from,x_to,y_to
,18,19,22,Highway,1,0.0437820567128705,1.0,1000.0,50.0,1,0,0.0525384680554446,1000.0,0.15,4,1,1,100,10,0,1,0,313368.0612,5812510.063,313364.5002,5812466.426
,19,23,24,Highway,1,0.049981416757828,2.0,1700.0,90.0,1,0,0.0333209445052187,1700.0,0.15,4,1,1,100,10,0,1,0,313645.7441,5812526.718,313638.3737,5812576.153
,20,23,25,Highway,1,0.4083287287899654,1.0,1000.0,50.0,1,0,0.4899944745479585,1000.0,0.15,4,1,1,100,10,0,1,0,313645.7441,5812526.718,314049.0873,5812463.105
,21,23,26,Highway,1,0.0942492248604274,2.0,1700.0,90.0,1,0,0.0628328165736183,1700.0,0.15,4,1,1,100,10,0,1,0,313645.7441,5812526.718,313633.8917,5812433.217
,22,27,28,Highway,1,0.1621827589823612,1.0,1000.0,50.0,1,0,0.1946193107788335,1000.0,0.15,4,1,1,100,10,0,1,0,314848.6617,5813499.864,314874.0328,5813660.05
,23,27,29,Highway,1,0.4477448717080622,1.0,1000.0,50.0,1,0,0.5372938460496747,1000.0,0.15,4,1,1,100,10,0,1,0,314848.6617,5813499.864,314403.2139,5813545.16
,24,30,31,Highway,1,0.1361825760699523,2.0,1700.0,90.0,1,0,0.0907883840466348,1700.0,0.15,4,1,1,100,10,0,1,0,313794.21,5813624.766,313806.879,5813760.358
,25,30,32,Highway,1,0.4945836997165145,1.0,1000.0,50.0,1,0,0.5935004396598175,1000.0,0.15,4,1,1,100,10,0,1,0,313794.21,5813624.766,314283.9894,5813555.997
,26,30,33,Highway,1,0.3746368998780751,2.0,1700.0,90.0,1,0,0.24975793325205,1700.0,0.15,4,1,1,100,10,0,1,0,313794.21,5813624.766,313740.0612,5813254.063
,27,34,35,Highway,1,0.4907562004295735,1.0,1000.0,50.0,1,0,0.5889074405154883,1000.0,0.15,4,1,1,100,10,0,1,0,314427.0532,5813716.049,313939.0612,5813768.063
,28,34,36,Highway,1,0.2068134264834118,1.0,1000.0,50.0,1,0,0.2481761117800942,1000.0,0.15,4,1,1,100,10,0,1,0,314427.0532,5813716.049,314454.041,5813921.094
,29,34,28,Highway,1,0.4504738070266772,1.0,1000.0,50.0,1,0,0.5405685684320126,1000.0,0.15,4,1,1,100,10,0,1,0,314427.0532,5813716.049,314874.0328,5813660.05
,30,34,29,Highway,1,0.1725437989187725,1.0,1000.0,50.0,1,0,0.207052558702527,1000.0,0.15,4,1,1,100,10,0,1,0,314427.0532,5813716.049,314403.2139,5813545.16
,31,37,35,Highway,1,0.1491414652905479,1.0,1000.0,50.0,1,0,0.1789697583486575,1000.0,0.15,4,1,1,100,10,0,1,0,313823.7648,5813862.667,313939.0612,5813768.063
,32,37,38,Highway,1,0.095742765500349,2.0,1400.0,50.0,1,0,0.1148913186004188,1400.0,0.15,4,1,1,100,10,0,1,0,313823.7648,5813862.667,313833.3872,5813957.925
,33,37,31,Highway,1,0.1036931131884505,2.0,1400.0,50.0,1,0,0.1244317358261406,1400.0,0.15,4,1,1,100,10,0,1,0,313823.7648,5813862.667,313806.879,5813760.358
,34,35,34,Highway,1,0.4907562004295735,1.0,1000.0,50.0,1,0,0.5889074405154883,1000.0,0.15,4,1,1,100,10,0,1,0,313939.0612,5813768.063,314427.0532,5813716.049
,35,35,37,Highway,1,0.1491414652905479,1.0,1000.0,50.0,1,0,0.1789697583486575,1000.0,0.15,4,1,1,100,10,0,1,0,313939.0612,5813768.063,313823.7648,5813862.667
,36,39,40,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,327708.39455,5815562.911,327404.773725,5815322.513
,37,39,2277,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,327708.39455,5815562.911,327714.4509,5815566.123
,38,40,39,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,327404.773725,5815322.513,327708.39455,5815562.911
,39,40,41,Highway,1,0.2245498246094326,1.0,700.0,50.0,1,0,0.2694597895313191,700.0,0.15,4,1,1,100,10,0,1,0,327404.773725,5815322.513,327101.1529,5815082.115
,40,1947,42,Highway,1,0.6603720551535387,2.0,1300.0,50.0,1,0,0.7924464661842465,1300.0,0.15,4,1,1,100,10,0,1,0,317151.6904,5818048.448,317149.1065,5817388.081
,41,43,44,Highway,1,0.406915024369047,1.0,1000.0,50.0,1,0,0.4882980292428564,1000.0,0.15,4,1,1,100,10,0,1,0,316359.3405,5816484.293,316401.0765,5816889.062
,42,43,45,Highway,1,0.188171578575575,2.0,1300.0,50.0,1,0,0.22580589429069,1300.0,0.15,4,1,1,100,10,0,1,0,316359.3405,5816484.293,316476.2731,5816336.864
,43,43,46,Highway,1,0.1641859988405254,2.0,1400.0,50.0,1,0,0.1970231986086305,1400.0,0.15,4,1,1,100,10,0,1,0,316359.3405,5816484.293,316258.2558,5816613.672
,44,44,43,Highway,1,0.406915024369047,1.0,1000.0,50.0,1,0,0.4882980292428564,1000.0,0.15,4,1,1,100,10,0,1,0,316401.0765,5816889.062,316359.3405,5816484.293
,45,44,47,Highway,1,0.578410876688958,1.0,1000.0,50.0,1,0,0.6940930520267495,1000.0,0.15,4,1,1,100,10,0,1,0,316401.0765,5816889.062,316465.8109,5817463.839
,46,45,43,Highway,1,0.188171578575575,2.0,1300.0,50.0,1,0,0.22580589429069,1300.0,0.15,4,1,1,100,10,0,1,0,316476.2731,5816336.864,316359.3405,5816484.293
,47,45,48,Highway,1,0.5523005942955335,1.0,1000.0,50.0,1,0,0.6627607131546401,1000.0,0.15,4,1,1,100,10,0,1,0,316476.2731,5816336.864,317025.8699,5816282.281
,48,45,49,Highway,1,0.7786569416618113,2.0,1300.0,50.0,1,0,0.9343883299941736,1300.0,0.15,4,1,1,100,10,0,1,0,316476.2731,5816336.864,316968.8248,5815733.789
,49,48,45,Highway,1,0.5523005942955335,1.0,1000.0,50.0,1,0,0.6627607131546401,1000.0,0.15,4,1,1,100,10,0,1,0,317025.8699,5816282.281,316476.2731,5816336.864
,50,48,50,Highway,1,0.2848657577402924,2.0,1800.0,60.0,1,0,0.2848657577402924,1800.0,0.15,4,1,1,100,10,0,1,0,317025.8699,5816282.281,317062.2435,5816564.815
,51,48,51,Highway,1,0.3089649014368787,2.0,1800.0,60.0,1,0,0.3089649014368787,1800.0,0.15,4,1,1,100,10,0,1,0,317025.8699,5816282.281,316993.0612,5815975.063
,52,52,53,Highway,1,0.665618236207553,1.0,1000.0,50.0,1,0,0.7987418834490636,1000.0,0.15,4,1,1,100,10,0,1,0,317906.895,5816482.284,317244.1549,5816544.116
,53,52,54,Highway,1,0.4164172994287317,2.0,1300.0,50.0,1,0,0.499700759314478,1300.0,0.15,4,1,1,100,10,0,1,0,317906.895,5816482.284,317684.0612,5816834.063
,54,52,55,Highway,1,0.0485493792785073,2.0,1300.0,50.0,1,0,0.0582592551342087,1300.0,0.15,4,1,1,100,10,0,1,0,317906.895,5816482.284,317934.0794,5816442.059
,55,53,52,Highway,1,0.665618236207553,1.0,1000.0,50.0,1,0,0.7987418834490636,1000.0,0.15,4,1,1,100,10,0,1,0,317244.1549,5816544.116,317906.895,5816482.284
,56,53,50,Highway,1,0.1830852425810879,1.0,1000.0,50.0,1,0,0.2197022910973055,1000.0,0.15,4,1,1,100,10,0,1,0,317244.1549,5816544.116,317062.2435,5816564.815
,57,1980,56,Highway,1,0.2245498246094326,1.0,650.0,50.0,1,0,0.2694597895313191,650.0,0.15,4,1,1,100,10,0,1,0,317390.4092,5818019.029,317386.57555,5818011.2955
,58,57,59,Highway,1,0.3853140472207949,2.0,2000.0,50.0,1,0,0.4623768566649539,2000.0,0.15,4,1,1,100,10,0,1,0,313770.853,5816978.35,313388.8249,5817028.564
,59,57,60,Highway,1,0.5168744405711837,2.0,1300.0,50.0,1,0,0.6202493286854204,1300.0,0.15,4,1,1,100,10,0,1,0,313770.853,5816978.35,313710.0612,5816465.063
,60,57,61,Highway,1,0.1772452076114478,2.0,1300.0,50.0,1,0,0.2126942491337374,1300.0,0.15,4,1,1,100,10,0,1,0,313770.853,5816978.35,313792.6245,5817154.253
,61,1921,62,Highway,1,0.3461291436326005,2.0,1500.0,90.0,1,0,0.2307527624217336,1500.0,0.15,4,1,1,100,10,0,1,0,312622.9521,5816016.626,312929.0612,5815855.063
,62,63,64,Highway,1,0.4338215814628685,1.0,1000.0,50.0,1,0,0.5205858977554422,1000.0,0.15,4,1,1,100,10,0,1,0,313497.1638,5814753.367,313119.0612,5814966.063
,63,63,65,Highway,1,0.2780218332123167,1.0,1000.0,50.0,1,0,0.33362619985478,1000.0,0.15,4,1,1,100,10,0,1,0,313497.1638,5814753.367,313773.0612,5814719.063
,64,63,66,Highway,1,0.7822651897121985,1.0,650.0,50.0,1,0,0.938718227654638,650.0,0.15,4,1,1,100,10,0,1,0,313497.1638,5814753.367,313598.0533,5815529.099
,65,63,67,Highway,1,0.2532323482120349,1.0,650.0,50.0,1,0,0.3038788178544419,650.0,0.15,4,1,1,100,10,0,1,0,313497.1638,5814753.367,313465.2003,5814502.16
,66,68,65,Highway,1,0.326557415265605,1.0,1000.0,50.0,1,0,0.391868898318726,1000.0,0.15,4,1,1,100,10,0,1,0,314097.8676,5814685.291,313773.0612,5814719.063
,67,68,69,Highway,1,0.1671212872883656,2.0,1300.0,50.0,1,0,0.2005455447460387,1300.0,0.15,4,1,1,100,10,0,1,0,314097.8676,5814685.291,314119.0612,5814851.063
,68,68,70,Highway,1,0.2496596279119406,2.0,1300.0,50.0,1,0,0.2995915534943288,1300.0,0.15,4,1,1,100,10,0,1,0,314097.8676,5814685.291,314071.0674,5814437.074
,69,1922,71,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,312507.0628,5815039.713,312708.7747,5815010.276000001
,70,64,63,Highway,1,0.4338215814628685,1.0,1000.0,50.0,1,0,0.5205858977554422,1000.0,0.15,4,1,1,100,10,0,1,0,313119.0612,5814966.063,313497.1638,5814753.367
,71,64,71,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,313119.0612,5814966.063,312708.7747,5815010.276000001
,72,65,63,Highway,1,0.2780218332123167,1.0,1000.0,50.0,1,0,0.33362619985478,1000.0,0.15,4,1,1,100,10,0,1,0,313773.0612,5814719.063,313497.1638,5814753.367
,73,65,68,Highway,1,0.326557415265605,1.0,1000.0,50.0,1,0,0.391868898318726,1000.0,0.15,4,1,1,100,10,0,1,0,313773.0612,5814719.063,314097.8676,5814685.291
,74,72,73,Highway,1,0.0708242096549996,2.0,1500.0,90.0,1,0,0.0472161397699997,1500.0,0.15,4,1,1,100,10,0,1,0,317856.2777,5815653.662,317927.0612,5815656.063
,75,72,74,Highway,1,0.5481275149007163,2.0,1500.0,90.0,1,0,0.3654183432671442,1500.0,0.15,4,1,1,100,10,0,1,0,317856.2777,5815653.662,317311.3362,5815712.675
,76,72,75,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,317856.2777,5815653.662,317895.17854999995,5816047.8605
,77,76,77,Highway,1,0.4122314180609829,1.0,700.0,50.0,1,0,0.4946777016731795,700.0,0.15,4,1,1,100,10,0,1,0,314693.0597,5812723.051,314283.4363,5812769.348
,78,76,78,Highway,1,0.208528349751336,1.0,700.0,50.0,1,0,0.2502340197016033,700.0,0.15,4,1,1,100,10,0,1,0,314693.0597,5812723.051,314900.0827,5812698.04
,79,79,80,Highway,1,0.0283643767244866,2.0,2400.0,60.0,1,0,0.0283643767244866,2400.0,0.15,4,1,1,100,10,0,1,0,323361.6398,5815050.63,323343.0612,5815072.063
,80,79,81,Highway,1,0.0307525001743227,2.0,1900.0,90.0,1,0,0.0205016667828818,1900.0,0.15,4,1,1,100,10,0,1,0,323361.6398,5815050.63,323366.0612,5815081.063
,81,80,82,Highway,1,0.1478681845428556,2.0,2400.0,60.0,1,0,0.1478681845428556,2400.0,0.15,4,1,1,100,10,0,1,0,323343.0612,5815072.063,323196.0612,5815088.063
,82,82,83,Highway,1,0.0237697286480094,2.0,2400.0,60.0,1,0,0.0237697286480094,2400.0,0.15,4,1,1,100,10,0,1,0,323196.0612,5815088.063,323174.0612,5815079.063
,83,83,84,Highway,1,0.0174642491965729,2.0,2400.0,60.0,1,0,0.0174642491965729,2400.0,0.15,4,1,1,100,10,0,1,0,323174.0612,5815079.063,323167.0612,5815063.063
,84,84,85,Highway,1,0.0246981780704569,2.0,2400.0,60.0,1,0,0.0246981780704569,2400.0,0.15,4,1,1,100,10,0,1,0,323167.0612,5815063.063,323180.0612,5815042.063
,85,85,86,Highway,1,0.0376020962576874,2.0,2400.0,60.0,1,0,0.0376020962576874,2400.0,0.15,4,1,1,100,10,0,1,0,323180.0612,5815042.063,323215.2526,5815028.816
,86,87,88,Highway,1,0.6248066303241885,1.0,1000.0,50.0,1,0,0.7497679563890262,1000.0,0.15,4,1,1,100,10,0,1,0,325401.27,5809005.633,325483.0612,5809625.063
,87,87,89,Highway,1,0.0869246339897275,1.0,750.0,90.0,1,0,0.0579497559931516,750.0,0.15,4,1,1,100,10,0,1,0,325401.27,5809005.633,325487.3668,5808993.665
,88,87,90,Highway,1,0.1111678520841597,2.0,1500.0,90.0,1,0,0.0741119013894398,1500.0,0.15,4,1,1,100,10,0,1,0,325401.27,5809005.633,325290.9549,5809019.376
,89,88,87,Highway,1,0.6248066303241885,1.0,1000.0,50.0,1,0,0.7497679563890262,1000.0,0.15,4,1,1,100,10,0,1,0,325483.0612,5809625.063,325401.27,5809005.633
,90,88,91,Highway,1,0.0355105618091294,1.0,1000.0,50.0,1,0,0.0426126741709552,1000.0,0.15,4,1,1,100,10,0,1,0,325483.0612,5809625.063,325477.0612,5809660.063
,91,92,93,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,324633.2298,5809120.548,324683.98665,5809539.533
,92,92,94,Highway,1,0.2245498246094326,1.0,750.0,90.0,1,0,0.149699883072955,750.0,0.15,4,1,1,100,10,0,1,0,324633.2298,5809120.548,324876.81715,5809084.085000001
,93,92,95,Highway,1,0.3200021175670988,2.0,1500.0,90.0,1,0,0.2133347450447325,1500.0,0.15,4,1,1,100,10,0,1,0,324633.2298,5809120.548,324315.6391,5809159.759
,94,96,93,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,324734.7435,5809958.518,324683.98665,5809539.533
,95,96,97,Highway,1,0.3113403712711662,2.0,1500.0,90.0,1,0,0.2075602475141107,1500.0,0.15,4,1,1,100,10,0,1,0,324734.7435,5809958.518,324425.637,5809995.747
,96,96,98,Highway,1,0.2271083932544877,1.0,750.0,90.0,1,0,0.1514055955029918,750.0,0.15,4,1,1,100,10,0,1,0,324734.7435,5809958.518,324960.2754,5809931.805
,97,99,100,Highway,1,0.3792227659864069,1.0,1000.0,50.0,1,0,0.4550673191836883,1000.0,0.15,4,1,1,100,10,0,1,0,323860.2139,5809233.502,323905.0577,5809610.064
,98,99,101,Highway,1,0.215144472968953,1.0,750.0,90.0,1,0,0.1434296486459687,750.0,0.15,4,1,1,100,10,0,1,0,323860.2139,5809233.502,324071.9437,5809195.323
,99,99,102,Highway,1,0.2935994082864924,2.0,1500.0,90.0,1,0,0.1957329388576616,1500.0,0.15,4,1,1,100,10,0,1,0,323860.2139,5809233.502,323568.9328,5809270.325
,100,103,104,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,323736.2174,5808687.533,323609.13375000004,5808829.7585
,101,103,105,Highway,1,0.2808614823962142,2.0,1500.0,90.0,1,0,0.1872409882641428,1500.0,0.15,4,1,1,100,10,0,1,0,323736.2174,5808687.533,323457.9598,5808725.689
,102,103,106,Highway,1,0.1794631397860946,1.0,750.0,90.0,1,0,0.1196420931907297,750.0,0.15,4,1,1,100,10,0,1,0,323736.2174,5808687.533,323912.9457,5808656.322
,103,104,103,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,323609.13375000004,5808829.7585,323736.2174,5808687.533
,104,104,107,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,323609.13375000004,5808829.7585,323482.0501,5808971.984
,105,108,109,Highway,1,0.4067501928545776,1.0,1000.0,50.0,1,0,0.4881002314254931,1000.0,0.15,4,1,1,100,10,0,1,0,322674.3212,5809097.709,323076.0639,5809034.081
,106,108,110,Highway,1,0.1068827643983616,2.0,1700.0,90.0,1,0,0.0712551762655744,1700.0,0.15,4,1,1,100,10,0,1,0,322674.3212,5809097.709,322686.5924,5809203.885
,107,108,111,Highway,1,0.2594359991411292,2.0,1700.0,90.0,1,0,0.1729573327607528,1700.0,0.15,4,1,1,100,10,0,1,0,322674.3212,5809097.709,322646.968,5808839.719
,108,107,104,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,323482.0501,5808971.984,323609.13375000004,5808829.7585
,109,107,112,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,323482.0501,5808971.984,323279.05700000003,5809003.032500001
,110,107,113,Highway,1,0.3121640750710738,2.0,1300.0,50.0,1,0,0.3745968900852886,1300.0,0.15,4,1,1,100,10,0,1,0,323482.0501,5808971.984,323513.0702,5809282.603
,111,107,105,Highway,1,0.2474703408068377,2.0,1300.0,50.0,1,0,0.2969644089682052,1300.0,0.15,4,1,1,100,10,0,1,0,323482.0501,5808971.984,323457.9598,5808725.689
,112,114,115,Highway,1,0.1463028679017344,1.0,1000.0,50.0,1,0,0.1755634414820813,1000.0,0.15,4,1,1,100,10,0,1,0,325009.8937,5810350.373,324865.0612,5810371.063
,113,114,116,Highway,1,0.1723924132796713,2.0,1700.0,90.0,1,0,0.1149282755197808,1700.0,0.15,4,1,1,100,10,0,1,0,325009.8937,5810350.373,325034.0612,5810521.063
,114,114,98,Highway,1,0.4214986907676797,2.0,1700.0,90.0,1,0,0.2809991271784531,1700.0,0.15,4,1,1,100,10,0,1,0,325009.8937,5810350.373,324960.2754,5809931.805
,115,117,118,Highway,1,0.0548786887120659,1.0,1000.0,50.0,1,0,0.0658544264544791,1000.0,0.15,4,1,1,100,10,0,1,0,325342.1136,5810861.336,325298.0612,5810894.063
,116,117,119,Highway,1,0.0701087218166431,1.0,1000.0,50.0,1,0,0.0841304661799717,1000.0,0.15,4,1,1,100,10,0,1,0,325342.1136,5810861.336,325410.0612,5810844.063
,117,117,120,Highway,1,0.9695821842791178,1.0,1000.0,50.0,1,0,1.1634986211349414,1000.0,0.15,4,1,1,100,10,0,1,0,325342.1136,5810861.336,325235.2938,5809897.656
,118,121,122,Highway,1,0.0638489441567345,1.0,1000.0,50.0,1,0,0.0766187329880815,1000.0,0.15,4,1,1,100,10,0,1,0,325704.5026,5810550.857,325716.0612,5810488.063
,119,121,123,Highway,1,0.0743254254612202,1.0,1000.0,50.0,1,0,0.0891905105534643,1000.0,0.15,4,1,1,100,10,0,1,0,325704.5026,5810550.857,325667.0612,5810615.063
,120,124,122,Highway,1,0.64711616674166,1.0,1000.0,50.0,1,0,0.776539400089992,1000.0,0.15,4,1,1,100,10,0,1,0,325647.2197,5809844.619,325716.0612,5810488.063
,121,124,125,Highway,1,0.159814549350155,1.0,750.0,90.0,1,0,0.1065430329001033,750.0,0.15,4,1,1,100,10,0,1,0,325647.2197,5809844.619,325805.7497,5809824.397
,122,124,126,Highway,1,0.2734672863359145,2.0,1500.0,90.0,1,0,0.182311524223943,1500.0,0.15,4,1,1,100,10,0,1,0,325647.2197,5809844.619,325375.963,5809879.32
,123,127,128,Highway,1,0.2826759303121252,1.0,1000.0,50.0,1,0,0.3392111163745502,1000.0,0.15,4,1,1,100,10,0,1,0,320724.6442,5808557.946,320880.0612,5808794.063
,124,127,129,Highway,1,0.2882037188828114,1.0,1000.0,50.0,1,0,0.3458444626593737,1000.0,0.15,4,1,1,100,10,0,1,0,320724.6442,5808557.946,320475.0612,5808702.063
,125,127,130,Highway,1,0.2463325061336963,1.0,1000.0,50.0,1,0,0.2955990073604356,1000.0,0.15,4,1,1,100,10,0,1,0,320724.6442,5808557.946,320932.0612,5808425.063
,126,128,127,Highway,1,0.2826759303121252,1.0,1000.0,50.0,1,0,0.3392111163745502,1000.0,0.15,4,1,1,100,10,0,1,0,320880.0612,5808794.063,320724.6442,5808557.946
,127,128,131,Highway,1,0.6943968837333959,1.0,1000.0,50.0,1,0,0.8332762604800751,1000.0,0.15,4,1,1,100,10,0,1,0,320880.0612,5808794.063,320293.0795,5809165.061
,128,132,133,Highway,1,0.1751004401706053,3.0,2850.0,90.0,1,0,0.1167336267804035,2850.0,0.15,4,1,1,100,10,0,1,0,319477.5324,5809109.261,319324.0252,5809193.497
,129,132,134,Highway,1,0.2697704427470569,1.0,1000.0,50.0,1,0,0.3237245312964683,1000.0,0.15,4,1,1,100,10,0,1,0,319477.5324,5809109.261,319624.1523,5809335.709
,130,132,135,Highway,1,0.3205484602376298,2.0,1900.0,90.0,1,0,0.2136989734917532,1900.0,0.15,4,1,1,100,10,0,1,0,319477.5324,5809109.261,319756.8096,5808951.922
,131,136,137,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,319933.98795,5809711.621,320117.9208,5809891.171
,132,136,138,Highway,1,0.2245498246094326,1.0,1000.0,50.0,1,0,0.2694597895313191,1000.0,0.15,4,1,1,100,10,0,1,0,319933.98795,5809711.621,319750.0551,5809532.071
,133,139,140,Highway,1,0.3943619392286954,2.0,1400.0,50.0,1,0,0.4732343270744344,1400.0,0.15,4,1,1,100,10,0,1,0,320332.9914,5809976.243,320190.164,5810343.832
,134,139,137,Highway,1,0.2312846907348133,1.0,1000.0,50.0,1,0,0.277541628881776,1000.0,0.15,4,1,1,100,10,0,1,0,320332.9914,5809976.243,320117.9208,5809891.171
,135,139,141,Highway,1,0.262758464552856,2.0,1400.0,50.0,1,0,0.3153101574634271,1400.0,0.15,4,1,1,100,10,0,1,0,320332.9914,5809976.243,320430.1843,5809732.121
,136,142,143,Highway,1,0.5777572934717551,2.0,1300.0,50.0,1,0,0.6933087521661061,1300.0,0.15,4,1,1,100,10,0,1,0,319309.0918,5809842.05,319502.2192,5810386.573
,137,142,144,Highway,1,0.4555754715235208,1.0,1000.0,50.0,1,0,0.546690565828225,1000.0,0.15,4,1,1,100,10,0,1,0,319309.0918,5809842.05,318935.9599,5810103.434
,138,142,145,Highway,1,0.2409225378412106,2.0,1300.0,50.0,1,0,0.2891070454094527,1300.0,0.15,4,1,1,100,10,0,1,0,319309.0918,5809842.05,319233.6044,5809613.259
,139,142,138,Highway,1,0.5390135549199954,1.0,1000.0,50.0,1,0,0.6468162659039944,1000.0,0.15,4,1,1,100,10,0,1,0,319309.0918,5809842.05,319750.0551,5809532.071
,140,146,147,Highway,1,0.263458102500264,1.0,1000.0,50.0,1,0,0.3161497230003168,1000.0,0.15,4,1,1,100,10,0,1,0,319070.1842,5810296.301,318850.0612,5810441.063
,141,146,148,Highway,1,0.1155830721308038,1.0,650.0,50.0,1,0,0.1386996865569646,650.0,0.15,4,1,1,100,10,0,1,0,319070.1842,5810296.301,319002.4674,5810202.632
