link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,geometry
1551,1128,943,AM,1089.0610224039792,0.0845911984704894,37.83263213927108,1.210067802671088,
1552,943,1128,AM,637.585804046664,0.06642438334113711,48.17971252391171,0.7084286711629599,
1553,943,1130,AM,1282.6433015031969,1.3295009846965686,15.270105604228462,1.9732973869279953,
1554,337,330,AM,7624.711362379463,0.6151234633503488,14.931365135435891,2.11797537843874,
1555,337,332,AM,10340.122978928233,1.717306520543721,5.352831720143863,2.8722563830356203,
1556,331,1131,AM,7381.203564789832,0.09337295195558493,32.630777413469595,1.5377507426645483,
1557,1955,1124,AM,1166.4089717822146,0.3917259292807507,47.9359569563828,1.5552119623762861,
1558,1132,10,AM,2590.281184309634,0.7950106486560778,6.4493473157146095,2.5902811843096343,
1559,1132,1133,AM,2268.294039038698,0.018591092325013322,88.31808546216487,0.5969194839575521,
1560,1130,943,AM,658.6875605258798,0.47025922272858994,43.17112659576569,1.0133654777321228,
1561,1130,945,AM,2168.2658361671315,3.8608124466205163,2.554506587786926,3.3357935941032792,
1562,1130,1134,AM,589.4421186259335,0.25353383297878684,49.11073267892055,0.5894421186259335,
1563,945,1130,AM,1097.4382118047192,0.4376712315059737,22.53397097900701,1.688366479699568,
1564,945,756,AM,2168.2658361671315,1.1727393655491196,9.912020351209122,2.409184262407924,
1565,1127,1121,AM,662.6158597378956,0.2291005850931762,89.6894836992754,0.3897740351399386,
1566,1127,1135,AM,5934.599989879446,0.8625509907044976,23.5590674047816,2.0823157859226127,
1567,1127,833,AM,5831.216512422694,0.9310813761602117,24.801962076261802,2.0460408815518223,
1568,194,192,AM,2785.5573364595884,10.40487334560584,1.2948729916309685,3.979367623513698,
1569,194,41,AM,929.5241562180282,0.3951309969067762,34.09752609144115,1.3278916517400403,
1570,756,755,AM,378.4310198205237,0.35280439943935693,89.13337054162919,0.5045746930940316,
1571,756,945,AM,1097.4382118047192,0.2579841063088255,45.05787827127584,1.2193757908941325,
1572,756,1136,AM,3071.6080838664943,1.1207676831936328,5.1744774450632995,3.2332716672278887,
1573,1108,656,AM,3472.4321791847765,4.276764046177117,5.78987048009437,2.671101676295982,
1574,1108,1137,AM,2660.5463520338544,0.5651549241190376,13.768465936284363,2.046574116949119,
1575,1135,1127,AM,4852.417829018646,0.510394327021805,39.81411205849916,1.7026027470240865,
1576,1135,508,AM,4992.835139452252,1.2204477574554615,11.039382385900801,2.6278079681327644,
1577,1135,1138,AM,1629.9320623198353,1.8675813475841416,7.214137951203192,2.507587788184362,
1578,1117,1113,AM,2774.5674614466425,1.1081333874254524,12.158274111628394,2.1342826626512634,
1579,1117,833,AM,2848.8510070791854,1.2016204318342618,11.212350522368839,2.191423851599373,
1580,508,506,AM,4992.835139452252,1.2204477574554615,11.039382385900801,2.6278079681327644,
1581,508,1135,AM,5323.061812865956,0.4229619302268982,31.853905786126806,1.867740986970511,
1582,1120,645,AM,4933.663154188793,1.4009274981613236,11.509634151986264,2.5966648179941014,
1583,1120,963,AM,6286.963563798324,4.556825506177106,4.741306638502276,3.308928191472802,
1584,882,1100,AM,7752.105383901897,0.19108652201593684,61.08431935816579,1.4355750710929438,
1585,1126,1111,AM,819.4034738087881,0.23007068422469845,49.13510730636469,0.5852881955777058,
1586,1126,1139,AM,3852.9228101517942,1.0547301387613197,5.205735092159676,2.752087721536996,
1587,1119,1104,AM,721.4716423705395,0.28041100409696285,48.04729229494558,0.7214716423705395,
1588,1119,1140,AM,2044.0367219733134,0.9750296168540923,13.818031005084958,2.0440367219733133,
1589,1118,642,AM,2586.5782202063574,22.384746785734713,1.2948939314983212,3.9793511080097805,
1590,1118,972,AM,12010.637538847548,9.45209325152945,1.8628712315273381,4.214258785560543,
1591,1118,1122,AM,5215.930650360647,0.2963150181815103,58.72923760548993,1.3726133290422755,
1592,1118,1141,AM,3880.0800684009996,0.54023587708806,24.939086884023844,2.042147404421579,
1593,1101,883,AM,19776.425894881362,2.6706643157845376,3.57346169541176,3.6623010916446965,
1594,1116,651,AM,565.3857953396997,0.49543256351112297,49.733103435694666,0.4349121502613075,
1595,1116,1142,AM,3745.690013146609,2.5121286765355357,4.409868718282568,2.8813000101127764,
1596,1116,1143,AM,9816.018741002294,82.44255420876881,0.10233421545762855,7.550783646924841,
1597,1138,1135,AM,213.05206138484877,0.2699263143588605,49.91358292935435,0.32777240213053654,
